Als;te1;4433;81.9;negpal;high;front;negrd;t;negstr;101
Als;ka1;2848;53.1;negpal;low;front;negrd;k;negstr;102
Als;tar2;1433;30.9;negpal;low;central;negrd;t;str;103
Als;koe1;1270;30.2;negpal;low;central;negrd;k;negstr;104
Als;tar2;1785;27.3;negpal;low;central;negrd;t;str;105
Als;ka2;2584;56.1;negpal;low;front;negrd;k;str;106
Als;tar2;1058;24.9;negpal;low;central;negrd;t;str;107
Als;te1;1699;38.6;negpal;high;front;negrd;t;negstr;108
Als;ka1;1446;30.2;negpal;low;front;negrd;k;negstr;109
Als;te1;1823;28.2;negpal;high;front;negrd;t;negstr;110
Als;ta1;1596;22;negpal;low;front;negrd;t;negstr;111
Als;tar2;1307;15;negpal;low;central;negrd;t;str;112
Als;te1;1686;39;negpal;high;front;negrd;t;negstr;113
Als;ka1;2110;52.8;negpal;low;front;negrd;k;negstr;114
Als;tar1;1722;14.7;negpal;low;central;negrd;t;negstr;115
Als;ka1;1508;38.8;negpal;low;front;negrd;k;negstr;116
Als;ka1;2390;41.8;negpal;low;front;negrd;k;negstr;117
Als;ka1;1970;46.4;negpal;low;front;negrd;k;negstr;118
Als;ty1;1602;39.8;negpal;high;front;rd;t;negstr;119
Als;pe2;1130;19.6;negpal;high;front;negrd;p;str;120
Als;te2;1820;15.8;negpal;high;front;negrd;t;str;121
Als;koe1;1194;31;negpal;low;central;negrd;k;negstr;122
Als;ka1;1238;28.8;negpal;low;front;negrd;k;negstr;123
Als;to2;172;35.4;negpal;mid;back;rd;t;str;124
Als;te1;1046;38.2;negpal;high;front;negrd;t;negstr;125
Als;tja2;3436;34.9;pal;low;front;negrd;t;str;126
Als;på1;843;33;negpal;mid;back;rd;p;negstr;127
Als;på1;714;22.9;negpal;mid;back;rd;p;negstr;128
Als;kar2;1216;34.1;negpal;low;central;negrd;k;str;129
Als;ti1;2838;29.1;negpal;high;front;negrd;t;negstr;130
Als;koe1;1152;39.4;negpal;low;central;negrd;k;negstr;131
Als;par1;456;32.3;negpal;low;central;negrd;p;negstr;132
Als;tu2;1183;40.5;negpal;high;back;rd;t;str;133
Als;ku1;1916;27.7;negpal;high;back;rd;k;negstr;134
Als;ka1;2342;39.6;negpal;low;front;negrd;k;negstr;135
Als;kar1;2105;52.8;negpal;low;central;negrd;k;negstr;136
