file	meanf0
abk-002-000	208.79618868234417
abk-002-001	208.0337169141355
abk-002-006	158.34928529982128
abk-002-009	220.8952718655653
abk-002-010	233.27304256745603
abk-002-011	235.57762630126163
abk-002-023	227.6655278198065
abk-002-024	205.89711017407248
abk-002-026	234.62855963956983
abk-002-027	248.7843530026088
abk-002-028	229.64567464444093
abk-002-030	126.41366857624897
abk-002-032	238.60107677517166
abk-002-033	215.41633184128628
abk-002-034	206.10599458171197
abk-002-035	178.76587105769943
abk-002-036	218.0427933314025
abk-002-037	152.36322453433905
abk-002-038	207.14675452731026
abk-002-039	214.07936844036277
abk-002-040	194.07002994732622
abk-002-041	260.00801794350457
abk-002-042	264.5475811006304
abk-002-043	245.7896365368416
abk-002-044	181.5541868131375
abk-002-045	189.04633150708895
abk-002-046	186.6089918095835
abk-002-047	186.89473143742163
abk-002-049	233.1353152428322
abk-002-050	176.24810394447294
abk-002-051	217.67081153805796
abk-002-052	243.72068128887545
abk-002-053	151.2176879493223
abk-002-067	192.2606468087425
abk-002-070	215.9062016015753
abk-002-071	209.27225192860917
abk-002-072	219.501367706451
abk-002-073	210.66779167024967
abk-002-074	202.27396708095563
abk-002-077	242.527296681547
abk-002-078	235.3729505343319
abk-002-079	244.14024400467764
abk-002-080	239.44435938299733
abk-002-083	189.23392894250858
abk-002-084	222.910078080113
abk-002-085	159.72984508484492
abk-002-090	241.8818555064118
abk-002-097	202.04395912197225
abk-002-098	189.28109778741367
abk-002-101	212.91674805448477
abk-002-102	229.17023578796386
abk-002-103	182.96607132249358
abk-002-105	176.15033471354417
abk-002-106	177.8148027013897
