file	meanf0
ace-000-000	144.4360879531321
ace-000-001	155.5833672854068
ace-000-002	156.0861818061842
ace-000-003	151.19609248153552
ace-000-004	147.91841384105243
ace-000-007	153.52324843178894
ace-000-008	150.6728436572258
ace-000-009	149.67525839628217
ace-000-010	170.7594253535813
ace-000-011	151.3925803847431
ace-000-012	154.05996920290585
ace-000-013	167.8186592392102
ace-000-014	149.9688245867482
ace-000-025	151.59757962329059
ace-000-026	170.67778515608225
ace-000-027	151.0047938023958
ace-000-028	152.57455569496892
ace-000-029	163.26472429280054
ace-000-030	110.11837513470746
ace-000-031	146.36590908765965
ace-000-032	145.76558114919837
ace-000-033	156.57164804253566
ace-000-034	148.1093742275108
ace-000-035	149.90957362005616
ace-000-036	154.2184589597954
ace-000-037	151.02076003904378
ace-000-038	156.5961955745849
ace-000-039	147.95820594856337
ace-000-040	151.4279409313267
ace-000-041	151.24954025744188
ace-000-042	150.77951695534261
ace-000-043	149.52971666614624
ace-000-044	155.99924066577344
ace-000-045	148.76647451582843
ace-000-050	160.43559907572597
ace-000-051	187.050077772968
ace-000-052	163.50308689306704
ace-000-053	156.1155691196594
ace-000-061	154.16980765770748
ady-000-001	163.629799086997
ady-000-002	184.50822269188146
ady-000-003	166.01863673750103
ady-000-004	162.18723722428777
ady-000-006	183.92633822003583
ady-000-007	188.7400817338692
ady-000-008	183.90876421239673
ady-000-011	182.61736449264578
ady-000-012	177.11222824302422
ady-000-013	204.89677173893415
ady-000-014	217.29868793337315
ady-000-015	202.07705786377718
ady-000-017	191.14070744215272
ady-000-018	191.04708510131508
ady-000-019	200.17324363409975
ady-000-020	122.51853004757695
ady-000-021	192.35754805288684
ady-000-022	117.17340892438797
ady-000-024	239.81639951835865
ady-000-025	217.66575519272246
ady-000-026	235.97488134526384
ady-000-027	237.35785127187032
ady-000-030	281.5684076533251
ady-000-031	159.32715357166106
ady-000-032	208.20139717420028
ady-000-033	160.21965662562408
ady-000-035	203.76206973821292
ady-000-037	175.8694090756603
ady-000-039	155.17865862749588
ady-000-040	156.66147535261277
ady-000-041	212.35287583675907
ady-000-042	219.1512346534742
ady-000-043	206.0008812465268
ady-000-044	209.78723456344633
ady-000-045	230.3434134424938
ady-000-046	202.662151091843
ady-000-047	201.8836598116901
ady-000-048	198.59799618123097
ady-000-049	180.54229472341865
ady-000-050	182.90180254195283
ady-000-051	179.13265981436098
ady-000-052	163.82602207228766
ady-000-053	242.53272551239186
ady-000-054	217.88130717567478
ady-000-055	178.3701256823962
ady-000-056	174.96794883951802
ady-000-057	142.2443983842955
ady-000-058	145.4303176497098
ady-000-061	230.98135080915074
ady-000-062	211.3080981224045
ady-000-063	209.50874331541783
ady-000-064	184.40352160537216
ady-000-066	197.85257926224074
ady-000-067	193.9369069674407
ady-000-068	201.24308014102022
ady-000-069	183.18015429751682
ady-000-070	215.04377605593282
ady-000-071	187.10097313317848
ady-000-072	202.74311340486148
ady-000-073	266.956766881138
ady-000-074	186.29976211936636
