it03,ipu_137,Scrivete 'pupo' sul foglio,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
it03,ipu_138,Scrivete 'teco' sul foglio,406.1058437693507,407.506087379364,406.5153073781469,406.7775077592181,406.5907348850304,406.6428157826404,406.7272227546291,406.58327574502675,406.66810530224967,406.56830158546967,--undefined--
it03,ipu_139,Sentivo 'teco' di nuovo,408.4058057162383,409.60005622939127,408.7829432506558,409.0505313107901,408.8673502226445,408.919932,409.0002463062011,408.85731242609813,408.92637036242,--undefined--,--undefined--
it03,ipu_140,Sentivo 'cuto' di nuovo,412.372982040088,413.57193089287966,412.769932,413.049932,412.8812197650411,412.91713762546186,412.9943610253664,412.86607785729075,412.92929668807324,412.84661942302506,--undefined--
it03,ipu_141,Ripete 'chepo' da sempre,414.87229621904095,416.1688420956287,415.2446474076455,415.5032560026747,415.3075036633818,415.35958456099183,415.4457874260015,415.30293046203354,415.3837451562988,--undefined--,--undefined--
it03,ipu_142,Scrivete 'poco' sul foglio,417.57058679677715,419.059973443409,418.0303354101623,418.314921,418.12192595423517,418.18298631695035,418.274921,418.1232659942829,418.2105479627025,--undefined--,--undefined--
it03,ipu_143,Ripete 'poto' da sempre,420.25001644442744,421.6952569128254,420.6505005881184,420.9683736528417,420.7474788112543,420.82470221115886,420.9019256110634,420.7409257836688,420.85833132831283,420.72671715894467,420.8786758151982
it03,ipu_144,Ripete 'tipo' da sempre,422.844921,424.286923541861,423.3000684475878,423.58920722397454,423.38447541957646,423.43476042416546,423.52994275428034,423.3944858613326,423.4428804889676,423.3711966156002,423.49849066547205
it03,ipu_145,Ripete 'capo' da sempre,425.6584090777548,426.9814372679105,426.01758768196197,426.3121141374118,426.0894234028034,426.1558714445817,426.2402784165704,426.0845721502325,426.19307928994095,--undefined--,426.2166827706342
it03,ipu_146,Sentivo 'checo' di nuovo,428.2032889754092,429.45100677980895,428.609932,428.909932,428.7018788420807,428.7647350978169,428.85093796282666,428.6969559549794,428.7895265334062,--undefined--,428.82293367997
it03,ipu_147,Ha detto 'teco' sei volte,430.684921,432.03405524710735,431.02190438555516,431.29488012475264,431.104921,431.16557582723806,431.244921,431.09292122068945,431.19731752905585,431.0881941959009,--undefined--
