source_id,source_utterance_id,original_symbol_sequence,upstream_path,annotation_provenance
jsut_label,BASIC5000_1530,"^-b-o-[-o-ch-o-o-n-i-N-n-o-#-h-i-[-t-o-]-r-i-g-a-_-o-[-o-g-o-]-e-o-#-a-[-g-e-t-e-_-g-i-]-j-i-#-sh-i-[-N-k-o-o-o-#-s-a-[-m-a-t-a-]-g-e-t-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1531,"^-m-a-[-g-o-]-t-a-ch-i-w-a-_-w-a-[-t-a-sh-i-n-i-#-o-]-o-k-i-n-a-#-y-o-[-r-o-k-o-b-i-o-#-a-[-t-a-e-t-e-k-u-r-e-r-u-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1532,"^-sh-i-[-k-a-w-a-_-m-u-[-k-a-sh-i-_-ry-o-]-o-n-o-#-e-[-m-o-n-o-n-o-_-sh-u-]-t-a-r-u-#-m-o-[-n-o-]-d-a-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1533,"^-m-a-[-g-o-]-t-o-#-i-[-cl-sh-o-n-i-#-i-[-r-u-]-t-o-_-k-a-]-n-o-j-o-w-a-#-i-]-ts-u-m-o-#-t-a-[-n-o-sh-i-]-i-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1534,"^-k-a-[-N-ry-u-u-#-d-o-[-r-a-m-a-b-u-]-u-m-u-n-i-#-b-i-[-N-j-o-o-sh-i-t-e-_-k-a-]-N-k-o-k-u-n-o-#-s-e-[-e-h-i-N-o-#-u-[-r-u-#-gy-o-[-o-sh-a-g-a-#-f-u-]-e-t-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1535,"^-m-i-[-m-i-n-o-#-f-u-]-j-i-y-u-u-n-a-#-h-i-[-t-o-]-w-a-_-sh-u-]-w-a-d-e-#-k-a-[-i-w-a-g-a-d-e-k-i-]-r-u-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1536,"^-s-e-]-o-#-m-u-[-k-e-r-u-#-k-o-[-t-o-]-sh-i-k-a-#-d-e-[-k-i-]-n-a-i-#-n-a-]-r-a-b-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1537,"^-r-i-[-cl-p-a-n-a-#-s-e-[-N-s-e-]-e-w-a-_-s-e-]-e-t-o-n-i-#-n-i-[-N-t-a-i-z-u-]-y-o-k-u-#-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1538,"^-m-i-[-ry-o-k-u-w-a-#-m-i-]-r-u-m-e-o-#-u-]-ts-u-g-a-_-sh-i-]-N-k-a-w-a-#-t-a-[-m-a-]-sh-i-i-o-#-k-a-[-ch-i-t-o-]-r-u-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1539,"^-j-u-[-u-sh-o-]-r-o-k-u-o-#-a-[-t-a-r-a-sh-i-]-i-#-m-o-[-n-o-]-n-i-#-k-a-[-k-i-n-a-o-s-a-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1540,"^-t-e-[-h-a-]-cl-ch-o-o-#-k-u-[-ch-i-h-a-]-cl-ch-o-o-n-o-#-k-a-]-r-e-d-a-k-e-d-o-_-m-a-[-k-o-t-o-g-a-n-a-]-i-n-o-g-a-#-t-a-[-m-a-n-i-#-k-i-[-z-u-d-a-n-e-?-$",e2e_symbol/phoneme.yaml,manual_label_repository
