source_id,source_utterance_id,original_symbol_sequence,upstream_path,annotation_provenance
jsut_label,BASIC5000_1580,"^-r-a-]-i-r-a-cl-k-u-n-o-#-h-a-[-n-a-]-o-#-m-i-]-r-u-n-i-w-a-_-n-i-[-_-s-a-[-N-sh-u-]-u-k-a-N-#-m-a-[-t-a-]-n-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1581,"^-j-i-[-r-a-s-a-]-n-a-i-d-e-_-s-o-[-n-o-#-ny-u-]-u-s-u-o-#-w-a-[-t-a-sh-i-n-i-#-k-i-[-k-a-s-e-t-e-k-u-d-a-s-a-]-i-y-o-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1582,"^-t-a-[-i-t-e-e-n-o-g-a-k-u-s-e-e-w-a-_-sh-i-]-j-u-u-#-sh-i-[-k-e-]-N-o-#-u-[-k-e-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-#-k-o-[-t-o-]-d-e-_-i-[-y-a-]-n-i-#-n-a-]-cl-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1583,"^-k-o-[-o-m-o-k-u-r-i-]-s-u-t-o-n-o-n-a-k-a-n-i-_-a-[-n-a-]-t-a-g-a-#-g-o-[-i-]-k-e-N-o-#-n-o-]-b-e-t-a-m-o-n-o-g-a-#-a-[-r-i-m-a-]-sh-i-t-a-r-a-_-s-o-[-r-e-m-o-#-g-o-[-r-e-N-r-a-k-u-k-u-d-a-s-a-i-m-a-]-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1584,"^-ky-u-[-u-by-o-o-n-o-t-a-m-e-]-n-i-_-k-a-]-r-e-w-a-#-s-o-[-k-o-e-#-i-[-k-u-k-o-t-o-]-g-a-#-d-e-[-k-i-]-n-a-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1585,"^-i-]-f-u-k-u-o-#-k-a-[-u-]-n-o-o-#-s-e-[-ts-u-y-a-k-u-sh-i-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1586,"^-k-i-]-r-e-t-a-#-k-e-[-cl-k-a-N-k-a-r-a-_-ch-i-[-g-a-_-d-o-]-k-u-d-o-k-u-t-o-#-n-a-[-g-a-r-e-d-e-]-t-a-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1587,"^-a-[-_-d-a-[-b-i-N-g-u-d-e-k-i-]-r-u-n-a-r-a-_-w-a-[-t-a-sh-i-n-o-]-m-o-#-o-[-n-e-g-a-i-sh-i-t-e-#-i-]-i-d-e-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1588,"^-e-[-N-k-i-N-h-o-o-g-a-#-t-o-[-r-a-]-r-e-t-e-#-n-a-]-i-n-o-d-e-_-s-o-[-n-o-#-e-]-w-a-#-h-e-]-N-n-i-#-m-i-[-e-]-r-u-$",e2e_symbol/phoneme.yaml,manual_label_repository
jsut_label,BASIC5000_1589,"^-i-[-cl-p-o-d-e-m-o-#-u-[-g-o-]-i-t-e-#-g-o-[-r-a-N-?-_-g-a-[-k-e-k-a-r-a-#-o-]-ch-i-t-e-sh-i-m-a-u-y-o-$",e2e_symbol/phoneme.yaml,manual_label_repository
