source_id,source_file,file_sha,source_utterance_id,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,1,H#,0.0,0.71
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,2,?,0.71,0.735
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,3,I,0.735,0.78877
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,4,C,0.78877,0.865559
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,5,h,0.865559,0.887674
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,6,a:,0.887674,0.95
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,7,b,0.95,0.99654
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,8,@,0.99654,1.046779
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,9,R,1.046779,1.134011
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,10,o:,1.134011,1.216328
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,11,t,1.216328,1.285139
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,12,@,1.285139,1.349018
