source_id,source_file,file_sha,source_utterance_id,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,1,H#,0,0.66
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,2,?,0.66,0.695
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,3,E,0.695,0.733213
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,4,6,0.733213,0.770372
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,5,ts,0.770372,0.897462
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,6,E:,0.897462,0.966709
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,7,l,0.966709,1.002205
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,8,m,1.002205,1.063768
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,9,i:,1.063768,1.119231
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,10,6,1.119231,1.142525
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,11,d,1.142525,1.181619
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,12,a:,1.181619,1.275634
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,13,f,1.275634,1.375
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,14,O,1.375,1.48
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,15,n,1.48,1.608409
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,Erzähl mir davon.,angry,28.92,31.44,16,_,1.608409,2.515
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,1,H#,0,0.315
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,2,?,0.315,0.367251
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,3,I,0.367251,0.455
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,4,C,0.455,0.539822
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,5,b,0.539822,0.6273
