source_id,source_utterance_id,utterance_text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_relative_s,segment_end_relative_s,duration_s,segment_start_absolute_s,segment_end_absolute_s,annotation_method,provenance
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,1,H#,0,0.415743,0.415743,11.94,12.355743,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,2,n,0.415743,0.44,0.024257,12.355743,12.38,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,3,a:,0.44,0.507244,0.067244,12.38,12.447244,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,4,d,0.507244,0.535,0.027756,12.447244,12.475,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,5,a,0.535,0.61,0.075,12.475,12.55,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,6,n,0.61,0.650942,0.040942,12.55,12.590942,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,7,v,0.650942,0.675506,0.024564,12.590942,12.615506,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,8,e:,0.675506,0.730775,0.055269,12.615506,12.670775,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,9,6,0.730775,0.760559,0.029784,12.670775,12.700559,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,10,d,0.760559,0.792283,0.031724,12.700559,12.732283,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,11,@,0.792283,0.811221,0.018938,12.732283,12.751221,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,12,?,0.811221,0.816441,0.00522,12.751221,12.756441,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,13,I,0.816441,0.84776,0.031319,12.756441,12.78776,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,14,C,0.84776,0.900573,0.052813,12.78776,12.840573,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,15,m,0.900573,0.938954,0.038381,12.840573,12.878954,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,16,I,0.938954,0.99,0.051046,12.878954,12.93,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,17,C,0.99,1.039665,0.049665,12.93,12.979665,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,18,m,1.039665,1.09,0.050335,12.979665,13.03,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,19,a:,1.09,1.154501,0.064501,13.03,13.094501,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,20,l,1.154501,1.195,0.040499,13.094501,13.135,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,21,f,1.195,1.298814,0.103814,13.135,13.238814,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,22,o:,1.298814,1.367593,0.068779,13.238814,13.307593,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,23,6,1.367593,1.42,0.052407,13.307593,13.36,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,24,S,1.42,1.508221,0.088221,13.36,13.448221,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,25,t,1.508221,1.566802,0.058581,13.448221,13.506802,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,26,E,1.566802,1.681396,0.114594,13.506802,13.621396,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,27,l,1.681396,1.761229,0.079833,13.621396,13.701229,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,28,@,1.761229,1.77,0.008771,13.701229,13.71,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0004,Na dann werde ich mich mal vorstellen.,angry,11.94,15.72,29,n,1.77,1.874222,0.104222,13.71,13.814222,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
