source_id,utterance_id,source_utterance_id,source_file,source_row,annotation_layer,manual_annotation_status,timing_status,underlying_recording_lineage,source_value_pointer
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0901,BASIC5000_0901,e2e_symbol/phoneme.yaml,901,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0901
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0902,BASIC5000_0902,e2e_symbol/phoneme.yaml,902,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0902
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0903,BASIC5000_0903,e2e_symbol/phoneme.yaml,903,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0903
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0904,BASIC5000_0904,e2e_symbol/phoneme.yaml,904,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0904
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0905,BASIC5000_0905,e2e_symbol/phoneme.yaml,905,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0905
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0906,BASIC5000_0906,e2e_symbol/phoneme.yaml,906,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0906
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0907,BASIC5000_0907,e2e_symbol/phoneme.yaml,907,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0907
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0908,BASIC5000_0908,e2e_symbol/phoneme.yaml,908,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0908
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0909,BASIC5000_0909,e2e_symbol/phoneme.yaml,909,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0909
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0910,BASIC5000_0910,e2e_symbol/phoneme.yaml,910,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0910
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0911,BASIC5000_0911,e2e_symbol/phoneme.yaml,911,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0911
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0912,BASIC5000_0912,e2e_symbol/phoneme.yaml,912,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0912
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0913,BASIC5000_0913,e2e_symbol/phoneme.yaml,913,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0913
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0914,BASIC5000_0914,e2e_symbol/phoneme.yaml,914,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0914
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0915,BASIC5000_0915,e2e_symbol/phoneme.yaml,915,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0915
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0916,BASIC5000_0916,e2e_symbol/phoneme.yaml,916,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0916
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0917,BASIC5000_0917,e2e_symbol/phoneme.yaml,917,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0917
