source_id,utterance_id,source_utterance_id,source_file,source_row,annotation_layer,manual_annotation_status,timing_status,underlying_recording_lineage,source_value_pointer
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0541,BASIC5000_0541,e2e_symbol/phoneme.yaml,541,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0541
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0542,BASIC5000_0542,e2e_symbol/phoneme.yaml,542,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0542
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0543,BASIC5000_0543,e2e_symbol/phoneme.yaml,543,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0543
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0544,BASIC5000_0544,e2e_symbol/phoneme.yaml,544,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0544
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0545,BASIC5000_0545,e2e_symbol/phoneme.yaml,545,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0545
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0546,BASIC5000_0546,e2e_symbol/phoneme.yaml,546,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0546
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0547,BASIC5000_0547,e2e_symbol/phoneme.yaml,547,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0547
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0548,BASIC5000_0548,e2e_symbol/phoneme.yaml,548,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0548
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0549,BASIC5000_0549,e2e_symbol/phoneme.yaml,549,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0549
jsut_label_basic5000_manual,jsut_label_basic5000_manual::BASIC5000_0550,BASIC5000_0550,e2e_symbol/phoneme.yaml,550,phonetic_and_prosodic_symbol_sequence,manual,automatic_not_ingested,JSUT::BASIC5000,BASIC5000_0550
