source_id,recording_id,source_recording_id,annotation_type,original_annotation,normalized_ipa,source_file,source_blob_sha,provenance
jsut_label,jsut_label::BASIC5000_1371,BASIC5000_1371,manual_phonetic_prosodic_symbol_sequence,"^-s-a-[-gy-o-]-o-i-N-w-a-_-a-[-t-a-r-a-sh-i-]-i-#-i-]-e-n-i-#-h-a-[-i-s-e-N-k-o-]-o-j-i-o-#-sh-i-[-t-e-i-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1372,BASIC5000_1372,manual_phonetic_prosodic_symbol_sequence,"^-d-a-[-N-n-e-ts-u-s-e-e-g-a-#-s-u-[-g-u-r-e-]-t-e-i-r-u-#-k-o-[-t-o-]-n-o-#-k-e-[-cl-t-e-]-N-w-a-_-s-u-]-g-u-n-i-#-k-a-[-n-e-ts-u-j-o-]-o-t-a-i-n-i-#-n-a-]-cl-t-e-#-sh-i-[-m-a-u-t-o-#-y-u-[-u-k-o-t-o-]-d-e-#-a-]-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1373,BASIC5000_1373,manual_phonetic_prosodic_symbol_sequence,"^-sh-u-[-cl-s-e-s-u-r-u-t-a-m-e-]-n-i-w-a-_-s-e-[-cl-ky-o-k-u-t-e-k-i-n-a-#-n-i-[-N-g-e-N-d-e-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1374,BASIC5000_1374,manual_phonetic_prosodic_symbol_sequence,"^-i-[-ch-i-]-b-u-n-o-#-by-o-[-o-i-N-w-a-_-y-o-[-o-j-i-y-o-o-m-i-]-r-u-k-u-n-o-#-m-u-[-ry-o-o-#-m-i-]-h-o-N-o-#-h-a-[-i-f-u-s-u-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1375,BASIC5000_1375,manual_phonetic_prosodic_symbol_sequence,"^-sh-i-[-r-e-]-e-k-a-N-w-a-_-b-u-]-k-a-n-i-#-m-u-[-k-a-cl-t-e-#-t-a-]-d-a-ch-i-n-i-#-h-a-[-cl-p-o-o-s-u-r-u-#-y-o-]-o-#-m-e-[-e-r-e-e-o-h-a-cl-sh-i-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1376,BASIC5000_1376,manual_phonetic_prosodic_symbol_sequence,"^-s-a-[-N-ky-u-u-n-o-a-]-t-o-_-k-a-]-n-o-j-o-w-a-#-m-a-[-t-a-#-m-o-]-t-o-n-o-#-sh-i-[-g-o-t-o-n-i-#-m-o-[-d-o-]-cl-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1377,BASIC5000_1377,manual_phonetic_prosodic_symbol_sequence,"^-s-e-]-r-o-N-w-a-#-s-e-[-e-j-i-n-o-#-ry-o-[-o-i-k-i-d-e-_-j-u-[-u-y-o-o-n-a-#-y-a-[-k-u-w-a-]-r-i-o-#-e-[-N-z-u-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1378,BASIC5000_1378,manual_phonetic_prosodic_symbol_sequence,"^-i-[-ch-i-r-o-o-w-a-#-d-o-[-k-o-t-o-n-a-]-k-u-#-k-i-[-z-u-ts-u-]-i-t-a-#-y-o-]-o-n-i-#-i-[-cl-t-a-]-g-a-_-s-o-[-r-e-g-a-#-u-[-s-o-cl-p-a-ch-i-d-e-a-]-r-u-#-k-o-[-t-o-]-w-a-_-k-o-[-i-ts-u-t-o-]-n-o-#-n-a-[-g-a-n-e-N-n-o-#-ts-u-[-k-i-a-]-i-g-a-#-o-[-sh-i-e-t-e-k-u-r-e-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1379,BASIC5000_1379,manual_phonetic_prosodic_symbol_sequence,"^-k-i-]-ch-i-n-o-k-o-t-o-w-a-_-m-i-]-ch-i-n-o-k-o-t-o-t-o-#-k-u-[-b-e-ts-u-#-sh-i-[-n-a-]-k-u-t-e-w-a-#-n-a-[-r-a-]-n-a-i-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1380,BASIC5000_1380,manual_phonetic_prosodic_symbol_sequence,"^-k-a-[-sh-i-ts-u-o-#-o-[-k-a-]-sh-i-t-e-sh-i-m-a-i-_-m-a-[-k-o-t-o-n-i-#-m-o-[-o-sh-i-w-a-k-e-n-a-]-i-d-e-s-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
