source_id,source_utterance_id,utterance_id,original_symbol_sequence,annotation_status,timing_status,source_file,source_blob_sha
jsut,BASIC5000_1431,jsut::BASIC5000_1431,"^-ry-u-[-u-g-e-N-h-i-]-g-o-n-i-#-m-a-[-d-o-w-a-s-a-r-e-]-r-u-#-b-e-[-k-a-r-a-]-z-u-_-t-o-]-w-a-#-y-u-[-u-m-o-n-o-n-o-_-y-u-[-u-]-w-a-#-y-a-]-s-u-k-u-_-o-[-k-o-n-a-]-u-w-a-#-g-a-]-t-a-sh-i-_-t-o-[-#-o-[-m-o-w-a-]-n-a-i-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1432,jsut::BASIC5000_1432,"^-a-[-y-a-m-a-ch-i-o-#-a-[-r-a-t-a-m-u-]-r-u-n-i-#-h-a-[-b-a-k-a-]-r-u-k-o-t-o-#-n-a-]-k-a-r-e-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1433,jsut::BASIC5000_1433,"^-d-o-[-d-a-i-w-a-#-k-o-[-N-k-u-r-i-]-i-t-o-d-e-#-k-a-[-t-a-m-e-r-a-r-e-t-e-i-r-u-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1434,jsut::BASIC5000_1434,"^-ch-i-[-ch-i-]-w-a-#-y-o-[-r-o-k-o-]-N-d-e-#-i-[-r-u-d-o-]-k-o-r-o-k-a-_-t-o-[-t-e-m-o-#-o-[-k-o-]-cl-t-e-i-r-u-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1435,jsut::BASIC5000_1435,"^-ch-i-[-ch-i-]-n-o-#-sh-i-]-g-o-_-k-a-]-r-e-w-a-#-d-o-[-k-u-g-a-k-u-#-sh-i-[-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-n-a-]-k-a-cl-t-a-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1436,jsut::BASIC5000_1436,"^-ch-i-[-ch-i-]-t-o-#-w-a-[-t-a-sh-i-w-a-_-n-i-[-ch-i-y-o-]-o-b-i-n-i-w-a-_-i-]-ts-u-m-o-#-t-e-]-n-i-s-u-o-#-sh-i-[-t-e-i-t-a-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1437,jsut::BASIC5000_1437,"^-r-a-[-t-e-N-g-o-o-#-y-o-[-m-e-]-r-u-#-g-a-[-k-u-s-e-e-w-a-_-h-o-[-t-o-]-N-d-o-#-i-[-n-a-i-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1438,jsut::BASIC5000_1438,"^-b-i-[-s-e-e-b-u-]-ts-u-g-a-k-u-n-o-#-k-i-[-h-o-N-k-a-r-a-_-s-a-[-i-sh-i-N-n-o-#-j-o-[-o-h-o-o-m-a-]-d-e-o-#-m-o-]-o-r-a-#-s-u-[-r-u-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1439,jsut::BASIC5000_1439,"^-r-a-]-cl-f-u-r-u-z-u-d-e-#-sh-o-[-k-u-j-i-sh-i-t-a-]-k-e-r-e-b-a-_-s-u-[-u-sh-u-u-k-a-N-m-a-]-e-n-i-#-y-o-[-y-a-k-u-#-sh-i-[-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1440,jsut::BASIC5000_1440,"^-k-o-[-o-e-]-N-sh-a-w-a-_-j-i-[-b-u-N-n-o-#-d-a-[-i-g-a-k-u-j-i-]-d-a-i-n-o-#-o-[-m-o-i-d-e-o-#-k-u-[-w-a-]-sh-i-k-u-#-h-a-[-n-a-]-sh-i-t-a-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1441,jsut::BASIC5000_1441,"^-e-]-N-b-u-N-n-o-#-t-a-[-k-a-]-i-#-sh-o-[-k-u-j-i-o-#-t-o-]-r-u-t-o-_-k-o-[-o-k-e-]-ts-u-a-ts-u-n-o-#-g-e-[-N-i-N-n-i-#-n-a-]-r-u-k-a-m-o-#-sh-i-[-r-e-n-a-i-$",manual_phonetic_prosodic,automatic_not_ingested,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
