source_id,source_file,source_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_end_s
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,1,H#,0.29
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,2,f,0.39
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,3,i:,0.465
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,4,l,0.53
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,5,aI,0.655
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,6,C,0.73
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,7,t,0.777813
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,8,h,0.825
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,9,a:,0.895
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0013,Vielleicht habe ich falsch verstanden.,angry,42.78,46.56,10,b,0.930249
