source_id,source_utterance_id,utterance_id,phonetic_prosodic_sequence,source_file,source_blob_sha,annotation_status,timing_status
jsut_label,BASIC5000_1561,jsut_label::BASIC5000_1561,"^-r-i-[-N-j-i-N-g-a-#-by-o-[-o-k-i-n-i-n-a-]-r-u-t-o-_-k-a-]-n-o-j-o-w-a-_-i-[-sh-a-n-i-#-ch-i-[-ry-o-o-sh-i-t-e-k-u-r-e-r-u-#-y-o-]-o-n-i-#-t-a-[-n-o-]-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1562,jsut_label::BASIC5000_1562,"^-k-o-]-ky-o-o-n-o-#-o-]-i-t-a-#-ry-o-]-o-sh-i-N-n-o-#-k-o-[-t-o-]-o-#-k-a-[-N-g-a-]-e-t-e-m-i-r-u-#-b-e-]-k-i-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1563,jsut_label::BASIC5000_1563,"^-s-e-[-cl-k-a-k-u-#-k-i-]-t-e-k-u-r-e-t-a-n-o-n-i-_-r-u-]-s-u-o-#-sh-i-[-t-e-i-]-t-e-#-g-o-[-m-e-N-n-e-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1564,jsut_label::BASIC5000_1564,"^-s-u-[-i-e-e-n-o-a-]-t-o-_-o-[-r-e-N-j-i-j-u-]-u-s-u-#-i-]-cl-p-a-i-t-o-k-u-r-e-b-a-_-y-u-[-u-k-o-t-o-]-w-a-#-n-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1565,jsut_label::BASIC5000_1565,"^-j-i-[-cl-s-e-N-t-e-k-i-k-e-]-N-ch-i-k-a-r-a-#-s-u-[-r-e-]-b-a-_-k-a-]-r-e-n-o-#-k-e-[-e-k-a-k-u-w-a-#-j-i-[-cl-k-o-o-sh-i-n-i-k-u-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1566,jsut_label::BASIC5000_1566,"^-k-u-[-ch-i-o-#-i-[-cl-p-a-i-n-i-#-sh-i-[-t-a-m-a-m-a-]-d-e-#-h-a-[-n-a-]-sh-i-t-e-w-a-#-i-[-k-e-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1567,jsut_label::BASIC5000_1567,"^-ky-o-[-k-u-ch-i-t-e-k-i-n-a-#-o-[-o-a-]-m-e-d-a-cl-t-a-#-r-a-[-sh-i-]-i-k-e-d-o-_-i-[-k-a-n-a-]-k-u-t-e-#-s-e-[-e-k-a-i-d-a-]-cl-t-a-y-o-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1568,jsut_label::BASIC5000_1568,"^-n-i-[-d-o-]-t-o-#-m-a-[-ch-i-g-a-]-i-o-#-s-u-[-r-u-k-o-t-o-]-w-a-#-y-u-[-r-u-s-a-r-e-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1569,jsut_label::BASIC5000_1569,"^-n-a-[-n-a-j-i-]-cl-s-a-i-n-i-#-sh-i-[-t-e-]-w-a-_-k-a-]-r-e-w-a-#-i-[-m-a-d-a-n-i-_-o-[-d-o-r-o-]-k-u-h-o-d-o-#-g-e-]-N-k-i-d-e-a-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1570,jsut_label::BASIC5000_1570,"^-n-a-[-n-a-_-j-u-]-u-_-j-u-]-u-#-r-o-[-k-u-]-n-o-#-h-e-[-e-k-i-N-w-a-_-j-u-[-u-i-ch-i-]-d-e-#-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1571,jsut_label::BASIC5000_1571,"^-z-e-]-e-_-s-o-[-n-o-]-t-a-#-s-u-]-b-e-t-e-#-k-o-]-m-i-d-a-t-o-_-i-[-cl-p-a-k-u-#-i-]-k-u-r-a-d-e-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1572,jsut_label::BASIC5000_1572,"^-g-a-[-k-u-sh-a-n-o-n-a-]-k-a-n-i-w-a-_-a-[-m-e-r-i-k-a-ny-u-]-u-sh-o-k-u-o-#-n-i-[-sh-i-#-y-o-[-o-r-o-]-cl-p-a-n-o-#-sh-a-[-k-a-i-#-f-u-]-a-N-n-o-#-s-e-]-e-n-i-#-s-u-[-r-u-#-m-o-[-n-o-]-m-o-#-i-[-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1573,jsut_label::BASIC5000_1573,"^-ky-o-[-o-sh-u-u-j-o-]-n-o-#-ky-o-]-o-sh-i-n-i-#-s-o-[-o-_-a-[-s-e-]-r-u-n-a-t-o-#-i-[-w-a-r-e-t-e-i-m-a-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1574,jsut_label::BASIC5000_1574,"^-k-o-[-N-y-a-k-u-#-sh-i-[-t-e-i-r-u-]-n-o-n-i-_-k-i-]-s-u-o-#-ky-o-]-h-i-s-a-r-e-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1575,jsut_label::BASIC5000_1575,"^-k-o-]-o-k-i-g-a-#-n-i-[-d-o-#-o-[-t-o-z-u-r-e-]-r-u-#-k-o-[-t-o-]-w-a-_-m-e-]-cl-t-a-n-i-#-n-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1576,jsut_label::BASIC5000_1576,"^-j-u-]-u-t-a-N-n-o-#-i-[-r-o-]-w-a-_-k-a-[-b-e-t-o-#-ch-o-[-o-w-a-sh-i-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
jsut_label,BASIC5000_1577,jsut_label::BASIC5000_1577,"^-j-a-[-_-i-[-ch-i-n-e-N-m-a-]-e-n-o-w-a-#-m-o-]-o-#-k-i-[-k-i-m-e-g-a-#-n-a-]-i-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic
