source_id,utterance_id,original_symbol_sequence,source_file,source_blob_sha
jsut,BASIC5000_1060,"^-t-o-[-k-u-b-e-ts-u-n-o-#-r-e-]-e-n-i-ts-u-i-t-e-#-k-e-[-N-ky-u-u-o-#-sh-i-[-t-e-m-i-y-o-]-o-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1061,"^-k-a-[-w-a-k-a-m-i-n-i-i-k-u-n-i-sh-i-t-a-g-a-cl-t-e-_-n-a-[-g-a-r-e-]-w-a-#-a-[-s-a-k-u-#-n-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1062,"^-m-a-[-i-]-cl-t-a-y-o-_-k-a-]-r-e-w-a-#-w-a-[-t-a-sh-i-o-#-d-a-[-m-a-]-sh-i-t-e-#-i-[-t-a-]-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1063,"^-n-a-[-n-i-m-o-#-m-o-]-cl-t-e-#-i-[-n-a-]-i-n-o-d-a-k-a-r-a-_-n-a-[-n-i-m-o-#-u-[-sh-i-n-a-u-#-h-a-[-z-u-g-a-n-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1064,"^-y-o-]-N-sh-i-ts-u-k-a-r-a-#-n-a-]-r-u-_-a-[-p-a-]-a-t-o-o-_-k-a-]-n-o-j-o-w-a-#-k-a-[-r-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1065,"^-n-a-[-N-r-a-k-a-n-o-#-g-i-[-j-u-ts-u-t-e-k-i-#-m-o-[-N-d-a-i-n-i-y-o-r-i-_-y-o-[-k-o-k-u-s-a-r-e-t-a-#-b-a-[-N-g-u-m-i-n-o-#-k-a-[-w-a-r-i-n-i-_-e-]-e-g-a-g-a-#-h-o-[-o-e-e-s-a-r-e-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1066,"^-n-a-]-n-i-y-o-r-i-m-o-#-m-a-]-z-u-#-d-a-]-i-i-ch-i-n-i-_-u-]-s-o-o-#-ts-u-]-k-u-n-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1067,"^-t-a-[-b-i-b-i-t-o-w-a-#-t-a-[-ch-i-d-o-m-a-cl-t-e-_-w-a-[-t-a-sh-i-n-i-#-m-i-[-ch-i-o-#-k-i-[-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1068,"^-h-o-[-N-n-o-#-s-u-[-u-n-i-N-n-o-#-s-e-]-e-t-o-#-d-a-[-k-e-]-g-a-_-s-o-[-n-o-#-m-o-[-N-d-a-i-o-#-r-i-]-k-a-i-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1069,"^-t-a-[-N-k-e-N-d-a-k-e-]-d-e-#-b-u-[-s-o-o-sh-i-t-e-_-k-a-]-r-e-w-a-#-k-o-[-o-g-e-k-i-sh-i-t-a-#-g-o-[-n-i-]-N-o-#-m-i-[-n-a-_-o-[-i-h-a-r-a-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
