source_id,source_utterance_id,original_symbol_sequence,source_file,source_blob_sha
jsut_label,BASIC5000_1291,"^-i-[-y-o-]-i-y-o-t-o-#-y-u-[-u-t-o-k-i-]-n-i-#-n-a-]-cl-t-e-_-k-a-]-r-e-w-a-#-o-[-j-i-g-e-z-u-]-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1292,"^-i-[-w-a-y-u-]-r-u-#-e-]-e-ch-i-w-a-_-t-a-]-N-n-i-#-ch-i-]-sh-i-k-i-n-o-#-d-a-[-N-p-e-N-d-e-]-w-a-#-n-a-]-i-k-o-t-o-o-#-k-o-[-k-o-r-o-]-n-i-#-t-o-[-m-e-t-e-#-o-]-k-u-b-e-k-i-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1293,"^-e-[-N-t-o-ts-u-w-a-_-k-e-[-m-u-r-i-o-#-d-a-]-N-r-o-k-a-r-a-#-s-o-]-t-o-e-#-d-a-]-s-u-#-m-o-[-n-o-]-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1294,"^-i-[-r-o-i-r-o-t-o-#-t-a-[-s-u-k-e-]-t-e-#-k-u-[-d-a-s-a-]-cl-t-e-_-w-a-[-t-a-sh-i-t-a-]-ch-i-w-a-_-k-i-[-m-i-n-i-#-t-o-[-t-e-m-o-#-k-a-]-N-sh-a-sh-i-t-e-#-i-[-m-a-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1295,"^-o-[-y-a-n-o-k-o-k-o-r-o-n-o-n-a-]-k-a-d-e-w-a-_-k-o-[-d-o-m-o-w-a-#-s-e-[-e-ch-o-o-sh-i-t-e-]-m-o-#-t-o-[-sh-i-]-o-#-t-o-[-r-a-]-n-a-i-n-o-d-e-#-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1296,"^-o-[-y-a-]-w-a-_-w-a-[-t-a-sh-i-g-a-#-h-i-[-t-o-]-r-i-d-e-#-i-[-k-u-k-o-t-o-]-o-#-y-u-[-r-u-s-a-n-a-]-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1297,"^-y-a-[-ky-u-u-j-o-o-n-i-]-w-a-_-o-]-o-k-u-n-o-#-k-o-[-o-f-u-N-sh-i-t-a-#-f-a-]-N-g-a-#-i-[-m-a-]-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1298,"^-o-[-y-a-]-n-i-#-sh-i-[-n-a-r-e-t-a-#-m-u-[-s-u-k-o-t-o-#-k-e-[-cl-k-o-N-s-u-r-u-#-j-o-[-s-e-e-w-a-_-sh-i-[-a-w-a-s-e-d-e-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1299,"^-d-o-[-n-a-r-i-ts-u-k-e-]-t-a-k-a-cl-t-a-g-a-_-o-[-m-o-i-t-o-d-o-m-a-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1300,"^-o-[-o-n-a-m-i-o-u-]-k-e-t-e-_-k-a-]-r-e-n-o-#-k-a-]-n-u-u-w-a-#-t-e-[-N-p-u-k-u-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
