source_id,source_utterance_id,annotation_raw,source_file,source_blob_sha,annotation_status
jsut_label_2017,BASIC5000_1100,"^-f-i-]-r-i-cl-p-u-s-u-sh-i-w-a-_-y-u-[-u-j-i-N-y-a-#-r-i-[-N-j-i-N-t-o-#-i-[-cl-sh-o-n-i-#-n-a-]-cl-t-e-_-sh-u-[-k-u-e-N-o-#-k-e-[-e-k-a-k-u-sh-i-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1101,"^-r-i-[-k-u-r-o-]-o-#-h-a-[-k-o-b-u-]-n-o-w-a-#-t-a-[-i-h-e-N-d-e-]-s-u-g-a-_-k-a-]-i-r-o-d-e-#-h-a-[-k-o-b-u-]-n-o-w-a-#-k-a-[-N-t-a-N-d-e-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1102,"^-f-a-[-a-s-u-t-o-n-e-]-e-m-u-d-e-#-o-[-y-o-b-i-s-u-r-u-k-o-t-o-]-o-#-o-[-y-u-r-u-sh-i-k-u-d-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1103,"^-ch-i-[-r-i-]-o-#-k-e-[-N-ky-u-u-s-u-r-u-]-n-i-w-a-_-ch-i-]-z-u-o-_-i-]-ts-u-m-o-#-r-i-[-y-o-o-sh-i-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1104,"^-f-e-]-a-n-i-#-y-a-[-r-o-]-o-t-o-w-a-#-m-o-[-o-sh-i-m-a-s-e-]-N-k-e-d-o-_-m-u-[-sh-i-]-ry-o-n-a-#-k-o-[-o-d-o-o-w-a-#-o-[-y-a-m-e-#-i-[-t-a-d-a-k-i-t-a-]-i-d-e-s-u-w-a-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1105,"^-m-u-[-r-o-N-_-k-o-[-n-o-#-ry-o-[-o-ky-o-]-k-u-t-a-N-n-o-#-a-[-i-d-a-n-i-_-o-]-o-k-u-n-o-#-b-a-[-r-i-e-e-sh-o-N-g-a-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1106,"^-s-a-[-cl-p-o-r-o-n-i-#-s-u-]-N-d-e-i-r-u-#-a-]-n-i-n-i-_-t-e-[-g-a-m-i-o-#-o-[-k-u-r-u-ts-u-m-o-r-i-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1107,"^-o-[-d-o-r-o-]-k-u-#-b-e-]-k-i-k-o-t-o-n-i-_-s-o-[-n-o-#-r-o-[-o-j-i-N-w-a-#-k-e-[-N-k-o-o-o-#-k-a-[-i-f-u-k-u-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1108,"^-o-[-d-o-r-o-k-i-n-o-a-]-m-a-r-i-_-w-a-[-t-a-sh-i-w-a-#-k-u-[-ch-i-g-a-#-k-i-[-k-e-n-a-]-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1109,"^-h-e-[-N-z-u-]-ts-u-u-g-a-#-o-[-k-o-]-cl-t-a-t-o-k-i-n-i-#-t-a-]-i-sh-o-s-u-r-u-#-d-a-[-k-e-]-d-e-w-a-#-n-a-]-k-u-_-f-u-]-d-a-N-n-o-#-s-e-[-e-k-a-ts-u-n-o-n-a-]-k-a-d-e-_-h-e-[-N-z-u-]-ts-u-u-o-#-n-a-[-r-u-b-e-k-u-#-f-u-[-s-e-]-e-d-e-#-i-[-k-u-k-o-t-o-]-m-o-_-d-a-[-i-j-i-n-a-#-k-o-[-t-o-d-e-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
