source_id,source_record_id,original_symbol_sequence,source_file,annotation_status
jsut_label,BASIC5000_1490,"^-k-a-[-e-r-i-m-i-r-a-r-e-]-n-u-#-m-u-[-s-u-u-n-o-#-hy-o-[-o-ry-u-]-u-sh-a-g-a-_-i-[-e-]-o-#-m-o-[-t-o-]-m-e-t-e-r-u-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1491,"^-h-a-[-sh-i-]-w-a-_-ts-u-[-y-o-]-i-#-n-a-[-g-a-r-e-n-i-#-t-a-[-e-r-a-r-e-]-z-u-_-h-o-[-o-k-a-i-sh-i-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1492,"^-s-e-[-N-g-o-m-a-m-o-]-n-a-k-u-_-ch-i-]-ch-i-w-a-#-a-[-t-a-r-a-sh-i-]-i-#-i-[-e-]-o-#-k-a-[-cl-t-a-]-g-a-_-s-o-[-k-o-d-e-#-w-a-[-t-a-sh-i-w-a-#-u-[-m-a-r-e-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1493,"^-j-i-[-g-a-]-z-o-o-o-#-k-a-]-k-u-t-o-k-i-_-d-a-[-r-e-d-e-m-o-#-s-u-[-w-a-cl-t-e-_-j-i-[-cl-t-o-#-j-i-[-b-u-N-o-#-m-i-[-ts-u-m-e-m-a-s-u-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1494,"^-n-a-]-n-i-#-i-[-cl-t-e-]-N-d-a-_-i-[-cl-t-e-k-u-r-e-n-a-i-]-t-o-w-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1495,"^-sh-o-[-k-u-ch-u-u-sh-o-k-u-]-b-u-ts-u-w-a-_-k-o-[-N-ch-u-u-o-#-t-o-[-r-a-e-]-r-u-#-t-a-[-m-e-]-n-o-#-s-a-[-m-a-]-z-a-m-a-n-a-#-sh-u-]-r-u-i-n-o-#-w-a-]-n-a-o-#-s-o-[-n-a-]-e-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1496,"^-k-o-]-N-d-e-i-r-u-#-b-a-]-s-u-n-o-#-n-a-]-k-a-d-e-_-d-a-]-r-e-k-a-g-a-#-w-a-[-t-a-sh-i-n-o-n-a-o-#-y-o-[-b-u-]-n-o-o-#-k-i-[-i-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1497,"^-sh-o-[-o-n-i-N-sh-i-t-a-]-s-a-n-o-#-a-]-m-a-r-i-_-k-a-]-r-e-w-a-#-t-a-[-n-i-N-n-o-#-k-a-[-N-j-o-o-o-#-k-a-[-N-g-a-e-]-n-a-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1498,"^-u-[-sh-i-n-a-cl-t-a-#-t-o-[-k-i-]-o-#-u-[-m-e-a-w-a-s-e-]-r-u-n-o-w-a-_-m-u-[-z-u-k-a-sh-i-]-i-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1499,"^-s-u-[-i-m-i-N-w-a-_-k-e-[-N-k-o-o-n-i-#-k-a-]-k-u-k-o-t-o-g-a-#-d-e-[-k-i-]-n-a-i-#-m-o-[-n-o-]-d-e-s-u-$",e2e_symbol/phoneme.yaml,manual_curated
