source_id,source_file,source_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_end_s
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,1,H#,0.825
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,2,v,0.872312
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,3,Y,0.921145
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,4,6,0.952464
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,5,d,0.975355
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,6,@,1.01
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,7,s,1.074669
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,8,t,1.101689
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,9,d,1.128853
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,10,u:,1.178451
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,11,g,1.227988
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,12,E,1.28
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,13,6,1.343029
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,14,n,1.36268
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,15,@,1.405
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,16,m,1.465
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,17,I,1.520503
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,18,t,1.591125
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,19,j,1.604634
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,20,e:,1.629812
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,21,m,1.670957
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,22,a,1.75
