source_id,utterance_id,original_symbol_sequence,upstream_blob_sha,source_file,annotation_method
jsut_manual_labels,BASIC5000_1396,"^-g-e-[-N-z-e-e-w-a-#-sh-i-]-b-a-sh-i-b-a-_-k-e-]-e-z-a-i-o-#-sh-i-[-g-e-k-i-s-u-r-u-#-j-u-[-u-y-o-o-n-a-#-z-a-[-i-s-e-e-s-e-e-s-a-k-u-sh-u-]-d-a-N-t-o-sh-i-t-e-#-ts-u-[-k-a-w-a-r-e-r-u-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1397,"^-ry-o-[-o-t-e-]-N-b-i-N-n-i-#-k-a-[-k-e-y-o-]-o-cl-t-a-cl-t-e-_-s-o-]-o-w-a-#-i-[-k-i-m-a-s-e-]-N-y-o-?-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1398,"^-t-a-[-N-j-i-]-k-a-N-d-e-#-t-a-[-g-a-k-u-n-o-#-o-[-k-a-n-e-o-#-e-]-r-u-k-o-t-o-w-a-_-y-o-[-o-i-d-e-]-w-a-#-n-a-]-k-a-cl-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1399,"^-s-e-[-N-sh-u-u-a-]-t-a-r-i-m-o-#-s-a-[-s-o-cl-t-e-k-u-r-e-t-e-i-t-a-]-g-a-_-y-o-]-r-u-g-a-#-o-[-s-o-]-i-n-o-d-e-_-n-a-[-k-u-n-a-k-u-#-k-o-[-t-o-w-a-]-cl-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1400,"^-t-e-[-k-i-o-#-m-o-]-cl-t-a-#-k-o-[-t-o-]-n-o-#-n-a-]-i-#-m-o-[-n-o-]-n-i-w-a-_-t-o-]-m-o-w-a-#-d-e-[-k-i-]-n-a-i-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1401,"^-s-e-[-N-sh-i-N-]-k-o-k-u-w-a-_-h-a-[-cl-t-e-N-#-t-o-[-j-o-]-o-k-o-k-u-o-#-m-o-]-cl-t-o-#-e-]-N-j-o-#-s-u-[-b-e-]-k-i-d-a-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1402,"^-o-[-t-o-w-a-#-sh-i-[-d-a-i-n-i-#-y-o-]-w-a-k-u-n-a-r-i-_-s-o-[-sh-i-t-e-#-t-o-]-o-t-o-o-#-k-i-[-k-o-e-n-a-k-u-n-a-]-cl-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1403,"^-n-i-[-k-a-]-g-e-ts-u-n-i-#-i-[-ch-i-d-o-_-m-e-[-e-t-a-a-o-#-k-e-]-N-s-a-sh-i-m-a-s-u-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1404,"^-t-o-[-k-i-]-o-#-k-o-[-e-t-e-_-k-o-]-d-a-i-n-o-#-k-o-[-N-ch-u-]-u-t-a-ch-i-g-a-_-k-o-[-h-a-k-u-n-o-n-a-]-k-a-d-e-#-i-[-k-i-]-i-k-i-t-o-#-o-[-d-o-r-u-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
jsut_manual_labels,BASIC5000_1405,"^-ts-u-[-u-k-a-sh-i-t-a-k-u-r-u-m-a-g-a-_-w-a-[-t-a-sh-i-n-o-#-k-o-]-o-t-o-n-i-#-m-i-[-z-u-o-#-h-a-[-n-e-k-a-]-k-e-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625,e2e_symbol/phoneme.yaml,manual_curated_symbol_sequence
