source_id,source_file,source_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_end_s
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,1,H#,0.28
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,2,?,0.308966
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,3,I,0.401102
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,4,C,0.474812
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,5,b,0.535255
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,6,I,0.605
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,7,n,0.655
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,8,s,0.722353
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,9,p,0.817076
pavoque,marytts/pavoque-data/pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0011,"Ich bin Spike, welches Problem hast du?",angry,35.52,39.36,10,aI,1.065
