source_id,utterance_id,original_symbol_sequence,source_file,source_blob_sha
jsut,BASIC5000_0981,"^-k-a-]-s-e-N-o-#-h-i-[-i-t-a-#-g-o-]-o-_-t-a-[-d-a-sh-i-]-i-#-k-a-[-t-a-ch-i-n-i-#-sh-i-[-n-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0982,"^-r-o-[-o-k-a-o-#-f-u-[-s-e-]-g-u-#-t-a-[-m-e-]-n-i-_-m-o-]-cl-t-o-#-k-a-[-r-a-d-a-o-#-u-[-g-o-k-a-]-s-u-b-e-k-i-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0983,"^-g-u-]-N-t-a-i-d-e-w-a-_-m-u-[-d-a-N-t-a-]-i-sh-u-ts-u-#-s-u-[-r-u-k-o-]-t-o-w-a-#-y-u-[-r-u-s-a-r-e-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0984,"^-s-o-]-n-i-i-w-a-_-s-e-[-k-a-i-j-u-u-_-d-a-[-r-e-d-e-m-o-#-sh-i-[-cl-t-e-i-r-u-#-n-a-[-m-a-e-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0985,"^-o-]-N-sh-a-n-o-#-o-[-k-a-N-g-a-e-o-_-s-a-[-k-i-n-i-#-o-[-cl-sh-a-]-cl-t-e-#-k-u-[-d-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0986,"^-s-o-[-r-e-n-o-]-i-d-o-e-n-o-#-t-o-[-ts-u-ny-u-u-d-e-]-N-ry-u-u-d-e-_-n-o-]-i-z-u-g-a-#-h-a-[-cl-s-e-e-sh-i-m-a-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0987,"^-j-u-[-u-o-]-o-#-h-a-[-ch-i-f-i-]-i-t-o-n-o-#-h-e-[-y-a-n-o-m-e-]-N-s-e-k-i-w-a-_-r-o-[-k-u-j-u-u-y-o-N-h-e-e-h-o-o-f-i-]-i-t-o-d-e-a-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0988,"^-d-o-]-k-u-sh-o-g-a-#-k-i-[-r-a-i-t-o-y-u-u-#-w-a-]-k-e-d-e-w-a-#-n-a-]-k-u-_-j-i-[-k-a-N-g-a-#-n-a-]-i-n-o-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0989,"^-h-e-[-N-sh-u-]-u-sh-a-_-k-e-]-N-_-sh-u-[-cl-p-a-]-N-sh-a-d-e-a-r-u-#-h-i-[-t-o-]-w-a-_-w-a-[-t-a-sh-i-n-o-#-i-[-t-o-]-k-o-d-e-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0990,"^-t-a-[-i-s-e-]-e-y-o-o-w-a-_-a-[-m-e-r-i-k-a-o-#-y-o-[-o-r-o-]-cl-p-a-k-a-r-a-#-k-i-[-r-i-#-h-a-[-n-a-]-sh-i-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0991,"^-e-[-k-i-by-o-o-#-k-a-[-N-r-i-]-ky-o-k-u-n-o-#-h-o-[-o-k-o-k-u-d-e-]-w-a-_-r-i-[-k-a-]-N-r-i-ts-u-w-a-#-j-u-[-cl-p-a-a-s-e-]-N-t-o-#-d-a-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0992,"^-k-a-[-i-m-o-n-o-ch-u-u-n-i-#-k-a-]-s-a-o-#-t-o-[-r-a-]-r-e-t-e-#-sh-i-[-m-a-cl-t-a-]-n-o-y-o-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0993,"^-ch-u-]-u-g-o-k-u-d-e-w-a-_-b-i-]-w-a-_-k-e-[-N-k-o-o-t-o-#-k-i-[-r-i-h-a-n-a-]-sh-i-t-e-#-k-a-[-N-g-a-e-r-a-r-e-]-r-u-#-k-o-[-t-o-]-w-a-#-n-a-]-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0994,"^-s-u-[-e-n-o-#-m-u-[-s-u-m-e-]-n-i-w-a-_-i-]-ts-u-m-o-#-r-i-[-N-g-o-n-o-#-s-a-[-N-b-u-N-n-o-#-i-[-ch-i-]-g-a-#-a-[-t-a-e-r-a-r-e-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0995,"^-i-[-e-]-o-#-d-e-]-t-a-t-o-k-i-_-w-a-[-t-a-sh-i-w-a-#-k-a-[-g-i-n-o-k-o-t-o-]-o-#-o-[-m-o-i-d-a-]-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0996,"^-f-u-]-s-a-i-w-a-_-k-a-]-g-a-k-u-o-#-k-i-[-N-d-a-i-k-a-]-g-a-k-u-e-t-o-#-i-[-cl-p-e-N-s-a-s-e-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0997,"^-k-e-[-N-j-i-ts-u-n-a-#-k-u-[-s-a-n-o-n-e-r-e-]-b-e-r-u-n-o-#-u-[-N-d-o-o-o-#-k-i-[-z-u-k-i-a-g-e-]-r-u-#-k-o-[-t-o-]-n-i-#-sh-u-[-u-ch-u-u-sh-i-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0998,"^-ch-i-[-ry-o-o-g-a-#-o-[-w-a-r-u-]-m-a-d-e-n-i-_-s-o-[-o-g-a-k-u-_-d-o-[-n-o-k-u-r-a-i-k-a-k-a-r-i-m-a-]-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_0999,"^-f-u-[-r-o-]-n-i-#-h-a-]-i-cl-t-a-n-o-d-e-_-k-i-]-b-u-N-g-a-#-i-[-cl-s-o-o-#-y-o-]-k-u-n-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1000,"^-j-o-[-o-s-e-e-w-a-_-s-e-]-e-f-u-n-o-#-ch-i-[-k-a-r-a-]-d-e-w-a-#-d-o-[-o-n-i-m-o-#-n-a-[-r-a-]-n-a-k-u-n-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1001,"^-b-u-[-N-t-a-i-g-a-#-s-a-[-cl-k-a-n-i-m-o-]-ts-u-#-k-a-[-N-k-e-e-w-a-_-sh-i-[-k-i-s-a-i-g-a-#-g-a-[-k-a-n-i-#-t-a-[-i-s-u-r-u-]-n-o-t-o-#-o-[-n-a-j-i-d-e-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1002,"^-n-e-[-N-p-a-i-n-o-#-f-u-]-u-f-u-w-a-#-o-[-k-u-r-i-m-o-n-o-y-o-]-r-i-_-g-e-[-N-k-i-]-N-o-#-k-o-[-n-o-m-u-k-o-t-o-]-g-a-#-o-]-o-i-g-a-_-s-o-[-r-e-w-a-_-s-o-[-o-sh-i-t-a-#-o-[-k-u-r-i-m-o-n-o-w-a-#-h-i-[-ts-u-y-o-o-d-e-]-m-o-#-n-a-]-k-e-r-e-b-a-_-o-[-k-u-b-a-sh-o-m-o-#-n-a-[-i-]-k-a-r-a-d-e-#-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut,BASIC5000_1003,"^-m-o-[-e-r-u-g-o-m-i-]-t-o-#-m-o-[-e-n-a-i-g-o-m-i-n-o-k-u-]-b-e-ts-u-m-o-_-y-o-]-k-u-#-w-a-[-k-a-r-a-n-a-]-i-y-o-n-e-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
