source_id,source_utterance_id,annotation_raw,source_file,source_blob_sha,annotation_status
jsut_label_2017,BASIC5000_1139,"^-m-u-[-s-u-m-e-]-t-a-ch-i-n-o-#-o-[-sh-a-]-b-e-r-i-w-a-_-i-]-ts-u-m-a-d-e-m-o-#-ts-u-[-z-u-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1140,"^-j-i-[-s-e-e-d-e-k-i-]-r-u-#-y-o-]-o-n-i-#-n-a-[-r-a-]-n-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1141,"^-h-i-[-r-o-]-f-u-m-i-w-a-_-t-e-[-N-j-o-]-o-n-i-#-g-u-[-r-a-s-u-f-a-]-i-b-a-a-n-o-#-d-a-[-N-n-e-ts-u-z-a-i-o-#-i-[-r-e-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1142,"^-d-a-[-i-#-h-a-[-ts-u-]-m-e-e-n-i-#-k-a-]-N-sh-i-t-e-w-a-_-g-u-[-u-z-e-N-w-a-_-h-o-[-N-n-o-#-ch-i-]-i-s-a-n-a-#-y-a-[-k-u-w-a-]-r-i-sh-i-k-a-#-sh-i-[-n-a-]-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1143,"^-i-]-sh-i-#-s-o-[-ts-u-u-g-a-#-u-]-m-a-k-u-#-i-[-k-a-n-a-i-t-o-k-o-r-o-]-d-e-w-a-_-k-a-[-ts-u-d-o-o-m-o-#-u-]-m-a-k-u-#-i-[-k-a-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1144,"^-m-a-[-k-e-s-o-o-n-i-n-a-]-r-u-n-o-g-a-#-w-a-[-k-a-]-cl-t-a-#-t-o-]-k-i-_-k-a-]-r-e-r-a-w-a-#-k-o-[-o-s-a-N-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1145,"^-j-i-[-b-u-N-n-o-sh-i-g-o-t-o-w-a-#-a-[-m-a-r-i-#-s-u-[-k-i-]-d-e-w-a-#-n-a-]-k-a-cl-t-a-g-a-_-a-[-t-a-r-a-]-sh-i-k-u-#-k-a-[-cl-t-a-#-i-[-e-]-d-e-_-o-[-k-a-n-e-o-#-k-a-[-r-i-t-e-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1146,"^-h-i-]-n-o-#-u-[-ch-i-d-o-k-o-r-o-g-a-#-n-a-]-i-#-k-e-[-e-k-a-k-u-w-a-_-ky-u-]-u-k-u-ts-u-#-d-a-[-n-a-]-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1147,"^-h-i-[-r-u-m-a-]-w-a-#-t-a-]-i-y-o-o-g-a-_-y-o-]-r-u-w-a-#-ts-u-[-k-i-]-g-a-#-h-i-[-k-a-r-i-]-o-#-a-[-t-a-e-t-e-k-u-r-e-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1148,"^-r-e-[-e-ch-o-]-o-r-u-i-n-o-#-k-e-[-z-u-]-k-u-r-o-i-w-a-_-sh-u-[-u-d-a-N-n-o-#-k-e-[-ts-u-g-o-o-o-#-ts-u-[-y-o-m-e-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1149,"^-s-a-]-d-a-k-o-w-a-#-n-i-[-sh-i-n-i-#-sh-i-[-z-u-N-d-e-y-u-k-u-#-t-a-]-i-y-o-o-o-#-m-i-]-t-e-_-m-e-[-k-u-r-a-n-i-#-n-a-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1150,"^-a-[-s-o-N-d-e-i-r-u-#-k-o-[-d-o-m-o-]-t-a-ch-i-n-o-#-k-o-]-e-g-a-_-k-a-[-z-e-n-i-n-o-cl-t-e-#-k-i-[-k-o-e-t-e-k-i-]-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
jsut_label_2017,BASIC5000_1151,"^-sh-i-[-ts-u-r-e-]-e-d-e-s-u-g-a-_-s-o-[-r-e-w-a-_-w-a-[-t-a-sh-i-n-o-r-a-]-k-e-cl-t-o-d-e-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual_symbol_sequence
