source_id,source_recording_id,source_file,original_variable,original_value,provenance_blob_sha
jsut_label,jsut_label::BASIC5000_1351,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-sh-i-[-ts-u-]-d-e-w-a-#-k-o-[-r-e-w-a-_-a-[-r-e-y-o-]-r-i-#-h-a-]-r-u-k-a-n-i-#-m-a-[-s-a-]-cl-t-e-i-r-u-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1352,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-sh-i-[-ts-u-n-o-#-y-o-]-i-#-s-a-]-a-b-i-s-u-g-a-#-m-o-[-t-o-m-e-r-a-]-r-e-t-e-i-r-u-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1353,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-n-e-[-cl-ky-o-o-t-e-k-i-n-a-k-a-N-ky-a-k-u-g-a-_-ky-o-[-o-g-i-j-o-o-n-i-#-n-a-[-d-a-r-e-k-o-]-N-d-a-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1354,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-o-[-t-o-k-o-]-t-a-ch-i-w-a-_-t-o-[-r-a-]-cl-k-u-n-i-#-t-e-[-n-i-]-m-o-ts-u-o-#-ts-u-[-N-d-a-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1355,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-sh-i-]-N-#-k-o-[-k-u-s-a-i-k-u-]-u-k-o-o-w-a-_-j-i-[-cl-s-a-i-_-n-a-]-r-i-t-a-o-#-y-u-[-u-m-e-e-n-i-sh-i-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1356,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-h-a-]-h-a-n-o-#-sh-i-]-w-a-_-w-a-[-t-a-sh-i-n-o-#-sh-o-]-o-g-a-i-n-i-_-o-]-o-k-i-n-a-#-k-u-[-u-h-a-k-u-o-#-n-o-[-k-o-]-sh-i-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1357,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-o-[-t-o-k-o-]-g-a-#-u-[-m-a-]-n-i-n-o-cl-t-e-#-s-o-[-n-o-#-m-i-[-ch-i-o-#-y-a-[-cl-t-e-k-i-]-t-a-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1358,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-ch-u-]-u-s-e-e-n-o-#-i-]-N-g-u-r-a-N-d-o-d-e-w-a-_-m-a-[-ch-i-]-t-o-y-u-u-#-m-a-[-ch-i-n-o-#-s-u-]-b-e-t-e-g-a-_-t-o-[-k-i-]-n-i-w-a-_-i-[-ch-i-d-o-]-n-i-#-g-o-[-hy-a-k-u-]-n-i-N-m-o-n-o-#-s-e-]-N-sh-u-g-a-_-t-o-[-k-u-t-e-e-n-o-#-ky-u-[-u-j-i-ts-u-n-i-#-f-u-[-cl-t-o-b-o-]-o-r-u-o-#-sh-i-[-t-e-i-t-a-]-n-o-d-e-s-u-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1359,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-o-[-t-o-k-o-]-d-e-m-o-#-o-[-N-n-a-]-d-e-m-o-_-n-a-]-n-i-k-a-#-h-i-[-t-o-]-ts-u-n-o-#-g-i-]-j-u-ts-u-o-#-m-i-[-n-i-#-ts-u-[-k-e-]-r-u-k-o-t-o-g-a-#-n-o-[-z-o-m-a-sh-i-]-i-$",ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,jsut_label::BASIC5000_1360,e2e_symbol/phoneme.yaml,phoneme_symbol_sequence,"^-o-[-t-o-k-o-]-n-o-k-o-w-a-#-j-i-[-b-u-N-n-o-#-i-[-m-o-o-t-o-]-o-#-m-i-[-k-u-d-a-sh-i-g-a-ch-i-d-e-a-]-r-u-$",ae8933677c082c22238a895012b6b6dcba1f6625
