source_id,source_utterance_id,utterance_id,original_phonetic_prosodic_sequence,source_file,source_blob_sha,annotation_status,timing_status
jsut,BASIC5000_1521,jsut::BASIC5000_1521,"^-e-[-r-i-]-w-a-#-m-a-]-z-u-#-u-[-r-a-g-a-w-a-n-i-#-a-[-i-r-o-N-o-k-a-]-k-e-_-ts-u-[-g-i-]-n-i-#-o-[-m-o-t-e-g-a-w-a-o-#-k-a-[-k-e-n-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1522,jsut::BASIC5000_1522,"^-e-]-r-a-k-u-#-g-o-[-k-i-g-e-N-#-n-a-[-n-a-]-m-e-n-e-?-_-k-e-[-N-k-a-g-o-sh-i-n-i-#-n-a-[-r-a-]-n-a-i-d-e-?-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1523,jsut::BASIC5000_1523,"^-k-o-]-N-z-a-ts-u-sh-i-t-a-#-d-e-[-N-sh-a-n-o-n-a-]-k-a-d-e-w-a-_-s-u-[-r-i-]-n-i-#-g-o-[-y-o-]-o-j-i-N-#-k-u-[-d-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1524,jsut::BASIC5000_1524,"^-s-a-[-i-z-e-]-N-r-e-ts-u-d-e-_-e-]-o-#-k-a-]-i-t-e-i-r-u-#-o-[-N-n-a-]-n-o-k-o-w-a-_-w-a-[-t-a-sh-i-n-o-#-m-e-[-i-d-e-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1525,jsut::BASIC5000_1525,"^-k-i-[-k-o-]-k-u-sh-a-t-a-ch-i-w-a-_-n-i-[-h-o-N-n-o-#-s-e-[-e-k-a-ts-u-n-i-#-n-a-[-r-e-]-r-u-n-o-n-i-#-k-u-]-r-o-o-sh-i-t-e-i-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1526,jsut::BASIC5000_1526,"^-g-o-]-j-i-_-g-o-[-y-a-k-u-n-o-#-g-o-[-sh-i-t-e-k-i-n-a-]-d-o-w-a-_-k-a-]-k-i-#-m-e-[-e-r-u-a-d-o-]-r-e-s-u-y-o-r-i-#-o-[-y-o-s-e-k-u-d-a-s-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1527,jsut::BASIC5000_1527,"^-n-a-[-s-u-]-k-o-t-o-g-a-#-d-e-[-k-i-]-r-u-m-o-n-o-g-a-#-n-a-]-sh-i-_-n-a-]-s-u-k-o-t-o-g-a-#-d-e-[-k-i-]-n-a-i-#-m-o-[-n-o-]-g-a-#-o-[-sh-i-e-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1528,jsut::BASIC5000_1528,"^-j-u-[-u-y-o-o-n-a-ch-i-]-i-g-a-_-t-o-]-m-u-n-i-#-a-[-t-a-e-r-a-r-e-m-a-]-sh-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1529,jsut::BASIC5000_1529,"^-gy-o-[-o-sh-o-o-n-i-N-w-a-_-o-]-o-k-i-n-a-#-ts-u-[-ts-u-m-i-]-o-#-s-e-[-o-]-cl-t-e-#-h-a-[-k-o-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
jsut,BASIC5000_1530,jsut::BASIC5000_1530,"^-b-o-[-o-ch-o-o-n-i-N-n-o-#-h-i-[-t-o-]-r-i-g-a-_-o-[-o-g-o-]-e-o-#-a-[-g-e-t-e-_-g-i-]-j-i-#-sh-i-[-N-k-o-o-o-#-s-a-[-m-a-t-a-]-g-e-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,manual,excluded_automatic_julius
