source_id,source_utterance_id,original_symbol_sequence,source_file,source_blob_sha
jsut_label,BASIC5000_1281,"^-s-u-[-u-s-a-ts-u-n-o-#-a-[-N-n-a-i-sh-o-]-o-#-k-a-[-cl-t-a-]-g-a-_-d-o-]-r-e-m-o-#-w-a-[-t-a-sh-i-n-o-#-t-a-[-s-u-k-e-]-n-i-w-a-#-n-a-[-r-a-]-n-a-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1282,"^-ky-u-[-u-j-u-u-n-e-]-N-d-a-i-n-i-w-a-_-i-[-r-o-N-n-a-#-j-i-]-k-e-N-g-a-#-o-[-k-o-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1283,"^-g-o-[-sh-o-k-u-w-a-#-i-]-k-u-ts-u-k-a-#-a-]-r-u-g-a-_-z-e-[-N-t-a-i-t-o-sh-i-t-e-]-w-a-#-i-]-i-#-h-o-]-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1284,"^-m-i-]-ch-i-n-o-g-o-n-i-#-d-e-[-a-]-cl-t-a-#-t-o-[-k-i-]-n-i-w-a-_-j-i-]-sh-o-d-e-#-sh-i-[-r-a-b-e-]-n-a-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1285,"^-o-[-y-a-]-g-a-#-k-a-[-n-e-m-o-]-ch-i-n-o-#-k-o-[-d-o-m-o-w-a-_-o-[-k-a-n-e-n-o-#-ts-u-[-k-a-i-k-a-t-a-]-o-#-sh-i-[-r-a-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1286,"^-o-[-y-a-]-k-a-#-s-e-[-N-s-e-]-e-g-a-#-k-o-[-d-o-m-o-n-i-#-d-o-]-k-u-sh-o-n-o-#-t-a-[-n-o-sh-i-]-m-i-o-_-j-u-[-u-b-u-]-N-n-i-#-w-a-[-k-a-r-a-s-e-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1287,"^-k-a-]-a-s-a-N-w-a-#-r-o-]-cl-k-u-w-a-#-p-i-[-N-t-o-#-k-o-]-n-a-i-t-o-#-y-u-[-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1288,"^-i-[-y-a-_-t-o-]-m-u-n-o-h-o-o-g-a-#-o-]-k-u-s-a-N-o-#-y-o-[-r-o-k-o-b-a-s-e-t-a-]-i-t-o-#-o-[-m-o-]-cl-t-e-#-y-a-[-cl-t-e-i-r-u-]-N-d-a-y-o-?-#-t-o-[-o-m-o-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1289,"^-k-u-[-r-o-n-u-r-i-n-o-r-i-]-m-u-j-i-N-g-a-_-k-i-[-i-]-t-o-y-u-u-#-t-a-[-i-y-a-n-o-#-o-[-t-o-]-t-o-t-o-m-o-n-i-_-k-a-]-d-o-o-#-m-a-[-g-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
jsut_label,BASIC5000_1290,"^-i-[-r-a-n-u-ts-u-g-e-g-u-ch-i-o-sh-i-t-e-_-k-a-]-r-e-r-a-n-o-#-k-e-[-cl-k-o-N-s-e-]-e-k-a-ts-u-n-i-#-n-a-[-m-i-k-a-z-e-o-#-t-a-[-t-e-]-r-u-#-k-o-[-t-o-]-w-a-#-n-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625
