source_id,source_utterance_id,namespaced_utterance_id,original_phonetic_prosodic_sequence,source_file,source_blob_sha,annotation_provenance
jsut_label_manual,BASIC5000_1301,jsut_label_manual::BASIC5000_1301,"^-f-u-[-k-i-ts-u-k-e-r-u-#-ts-u-[-m-e-t-a-]-i-#-k-a-[-z-e-]-g-a-_-h-o-[-n-e-m-i-n-i-sh-i-m-i-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1302,jsut_label_manual::BASIC5000_1302,"^-g-e-]-N-z-a-i-#-h-e-]-e-sh-a-w-a-_-n-i-[-cl-p-o-]-N-#-z-e-]-N-k-o-k-u-n-i-_-h-i-[-j-o-o-n-i-#-y-o-]-k-u-#-s-o-]-sh-i-k-i-s-a-r-e-t-a-_-n-i-[-hy-a-k-u-]-n-o-#-h-a-[-N-b-a-]-i-t-e-N-o-#-m-o-]-cl-t-e-i-m-a-s-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1303,jsut_label_manual::BASIC5000_1303,"^-sh-u-]-f-u-g-a-#-y-o-]-k-a-o-#-j-u-[-u-b-u-]-N-#-m-o-[-t-e-]-r-u-y-o-o-n-i-#-n-a-]-cl-t-a-n-o-m-o-_-d-e-[-N-k-a-s-e-]-e-h-i-N-n-o-#-t-a-[-m-a-m-o-n-o-d-e-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1304,jsut_label_manual::BASIC5000_1304,"^-e-[-d-o-j-i-]-d-a-i-n-i-_-k-a-]-k-u-#-h-a-]-N-n-o-#-sh-o-[-o-r-e-]-e-s-a-k-u-n-i-#-y-o-]-cl-t-e-_-z-e-]-N-k-o-k-u-#-k-a-]-k-u-ch-i-n-i-_-j-i-[-b-a-s-a-]-N-gy-o-o-g-a-_-o-[-k-o-]-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1305,jsut_label_manual::BASIC5000_1305,"^-a-[-k-a-r-u-i-#-e-]-g-a-o-d-e-_-f-u-[-t-a-r-i-]-w-a-#-h-i-[-k-a-r-i-k-a-g-a-y-a-]-k-u-#-m-i-]-r-a-i-o-#-a-[-y-u-m-i-h-a-j-i-]-m-e-t-a-N-d-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1306,jsut_label_manual::BASIC5000_1306,"^-m-o-[-n-o-g-a-]-t-a-r-i-n-o-#-s-u-]-j-i-w-a-_-a-]-r-u-sh-i-m-a-o-#-b-u-]-t-a-i-n-i-#-t-e-[-N-k-a-i-s-u-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1307,jsut_label_manual::BASIC5000_1307,"^-a-[-k-i-]-r-a-k-a-n-i-_-k-a-]-r-e-r-a-w-a-#-k-a-]-r-e-n-o-#-t-o-]-m-i-t-o-#-ch-i-]-i-o-#-n-e-[-t-a-]-N-d-e-i-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1308,jsut_label_manual::BASIC5000_1308,"^-g-e-]-N-ch-i-n-o-#-h-i-[-t-o-]-t-a-ch-i-w-a-_-s-o-[-n-o-#-ch-i-]-k-u-n-i-#-t-a-[-ch-i-i-]-r-u-k-o-t-o-o-#-y-u-[-r-u-s-a-r-e-]-n-a-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1309,jsut_label_manual::BASIC5000_1309,"^-s-u-[-s-u-N-d-e-#-s-e-[-k-i-n-i-N-o-#-t-o-]-r-u-t-o-#-y-u-[-u-k-o-]-t-o-w-a-_-s-e-[-e-j-u-k-u-n-o-#-sh-i-[-r-u-sh-i-d-e-a-]-r-u-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
jsut_label_manual,BASIC5000_1310,jsut_label_manual::BASIC5000_1310,"^-k-a-]-r-e-#-d-o-]-k-u-j-i-n-o-#-y-a-[-r-i-k-a-t-a-w-a-_-w-a-[-r-e-w-a-r-e-n-o-#-a-[-i-d-a-d-e-]-w-a-#-n-i-[-N-k-i-g-a-#-n-a-]-i-$",e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,authoritative manually curated JSUT label sequence
