source_id,path,kind,size_bytes,git_blob_sha,access,manual_scope,ingestion_status,notes
voxangeles_2024,data/phonetic_measurements/voxangeles_durations.tsv,measurement_table,2673906,312cc96927ad4e2a1d79957499e82d9a5cf0340c,public,audited TextGrid-derived,pending_full_mirror,Phone/word labels and boundaries from audited alignments; upstream file is large UTF-16 and current connector cannot return usable bytes even through base64 fetch
voxangeles_2024,data/phonetic_measurements/voxangeles_f0_deciles.tsv,measurement_table,1714994,2d20c3de967ca03c80dfe78d22e29fb1383148c9,public,audited TextGrid-derived,pending_full_mirror,10-point vowel F0 trajectories; preserve all sampled timepoints
voxangeles_2024,data/phonetic_measurements/voxangeles_f0_quartiles.tsv,measurement_table,1108220,afccf9eb747835743cd59607576361bed556b3d2,public,audited TextGrid-derived,pending_schema_and_full_mirror,Quartile representation retained as separate source table; schema not inferred
voxangeles_2024,data/phonetic_measurements/voxangeles_formants_deciles.tsv,measurement_table,3815394,e0d8e6de5a5a85c3d1b45fc8c2d8bad8716597c6,public,audited TextGrid-derived,pending_full_mirror,10-point F1-F3 trajectories; preserve all sampled timepoints
voxangeles_2024,data/phonetic_measurements/voxangeles_formants_quartiles.tsv,measurement_table,1940962,216ee5c99310ac5bfa0fd744370cb0f3912b20f7,public,audited TextGrid-derived,pending_schema_and_full_mirror,Quartile representation retained as separate source table; schema not inferred
voxangeles_2024,data/phonetic_measurements/voxangeles_meanf0_file.tsv,measurement_table,167365,9492dd2ed35044219aed483613fd3f7a44f292d3,public,audited recordings,partial_ingested_lines_2_2255_2254_rows,Exact source-faithful rows 2-2255 now durable; continuation begins source line 2256
voxangeles_2024,processing/phonetic_extraction/getDurations_voxangeles.praat,provenance_script,2893,88128feceb60f88d6075208ae00751252d447b9b,public,audited branch,provenance_read,Defines duration/context/boundary extraction
voxangeles_2024,processing/phonetic_extraction/getFileMeanf0_voxangeles.praat,provenance_script,1499,a4ca2ea5a701fd8835f32468fa02aced1b454bb2,public,audited recordings,provenance_inventoried,Defines recording mean-F0 extraction
voxangeles_2024,processing/phonetic_extraction/getFormants_voxangeles.praat,provenance_script,8388,d509f2c0759ceccc794267adaa30494d41e199d9,public,audited branch,provenance_read,Defines 10-point F1-F3 extraction and formant settings
voxangeles_2024,processing/phonetic_extraction/getf0_voxangeles.praat,provenance_script,7210,3a07fcee2ad01c651314dccd5eb22a1060adc00b,public,audited branch,provenance_read,Defines 10-point F0 extraction and pitch settings
