source_id,file_name,size_published,md5,role,ingestion_status,authoritative_record,notes
oocc_2026,10_minute_recordings_audio_video_task1.zip,1.4 GB,0544c86afc33d219cb43f61246b81910,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,10_minute_recordings_audio_video_task2.zip,1.4 GB,025f30a9f3bf9cfc29982b8aa82649ff,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,10_minute_recordings_audio_video_task3.zip,1.5 GB,6f48f33a44ddf4c052c3d629c9c40e0e,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,10_minute_recordings_audio_video_task4.zip,1.4 GB,397b81eb224e78959ffc3bcfbbd5cc1e,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,10_minute_recordings_audio_video_task5.zip,1.6 GB,1b02b1cfeac41c1eba91eca50c5071ae,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,10_minute_recordings_landmarks.zip,593.6 MB,a0a7f5dd44782d7e98b82ed6e2168031,landmark_archive,pending_manual_provenance_review,https://doi.org/10.5281/zenodo.21446419,Inspect generation method; admit only human-created or exhaustively human-verified landmarks.
oocc_2026,10_minute_recordings_transcripts.zip,213.8 kB,57b7594f5f7f4769491ec7f8c5523975,transcript_archive,pending_manual_provenance_review,https://doi.org/10.5281/zenodo.21446419,Highest-priority small archive for next pass; determine annotation format and human provenance.
oocc_2026,2_minute_recordings_audio_video_task1.zip,286.6 MB,2dedd7b8aea80bec39f6815a6ad9f104,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,2_minute_recordings_audio_video_task2.zip,310.4 MB,ea08527575686d8c1ffd3039a1cb7a8d,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,2_minute_recordings_audio_video_task3.zip,259.1 MB,520bcf97069c5977c27122dd21bd08c4,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,2_minute_recordings_audio_video_task4.zip,304.9 MB,d39395daad9334d7139ac1ad43c87bd4,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,2_minute_recordings_audio_video_task5.zip,260.8 MB,6db3ea98fba3e23b9d268a298333a2cc,audio_video_media,manifest_only,https://doi.org/10.5281/zenodo.21446419,Do not mirror large media; preserve authoritative checksum and URL.
oocc_2026,2_minute_recordings_landmarks.zip,109.8 MB,84d4719f7b519501dcdd56c1391b1de6,landmark_archive,pending_manual_provenance_review,https://doi.org/10.5281/zenodo.21446419,Inspect generation method; admit only human-created or exhaustively human-verified landmarks.
oocc_2026,2_minute_recordings_transcripts.zip,573.8 kB,2d512c753d4275e497b38548b362cf5b,transcript_archive,pending_manual_provenance_review,https://doi.org/10.5281/zenodo.21446419,Highest-priority small archive for next pass; determine annotation format and human provenance.
oocc_2026,citation.zip,835 Bytes,18f5ba1bee36eaf596054ac89b69c2ae,citation_metadata,manifested,https://doi.org/10.5281/zenodo.21446419,Ancillary metadata.
oocc_2026,documentation.zip,588.8 kB,135759cae18a038566d30625d28c72e7,documentation,pending_parse,https://doi.org/10.5281/zenodo.21446419,Parse before deciding manual annotation eligibility.
oocc_2026,metadata.zip,2.5 kB,a0e0f9638c6a80be09c0a80ecb850981,participant_task_metadata,pending_parse,https://doi.org/10.5281/zenodo.21446419,Parse source-faithfully if access succeeds; retain all original fields.
oocc_2026,README.md,8.1 kB,c488f095bb338023361df247ba86a592,documentation,pending_parse,https://doi.org/10.5281/zenodo.21446419,Record license/use conditions and annotation pipeline exactly.
