source_id,utterance_id,segment_id,segment_index,label_original,normalized_ipa,start_rel_s,end_rel_s,duration_s,start_abs_s,end_abs_s,utterance_start_s,utterance_end_s,style,text_original,annotation_method,upstream_blob_sha
pavoque,pavoque::m0180,pavoque::m0180::seg001,1,H#,,0,0.720345,0.720345,878.520000,879.240345,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg002,2,?,,0.720345,0.743681,0.023336,879.240345,879.263681,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg003,3,E,,0.743681,0.87,0.126319,879.263681,879.390000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg004,4,s,,0.87,0.970286,0.100286,879.390000,879.490286,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg005,5,?,,0.970286,1.013274,0.042988,879.490286,879.533274,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg006,6,I,,1.013274,1.115,0.101726,879.533274,879.635000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg007,7,s,,1.115,1.194435,0.079435,879.635000,879.714435,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg008,8,t,,1.194435,1.228211,0.033776,879.714435,879.748211,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg009,9,d,,1.228211,1.274681,0.046470,879.748211,879.794681,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg010,10,i:,,1.274681,1.375596,0.100915,879.794681,879.895596,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg011,11,?,,1.375596,1.429023,0.053427,879.895596,879.949023,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg012,12,E,,1.429023,1.55,0.120977,879.949023,880.070000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg013,13,n,,1.55,1.61,0.060000,880.070000,880.130000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg014,14,t,,1.61,1.68391,0.073910,880.130000,880.203910,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg015,15,6,,1.68391,1.769851,0.085941,880.203910,880.289851,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg016,16,p,,1.769851,1.854259,0.084408,880.289851,880.374259,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg017,17,r,,1.854259,1.916623,0.062364,880.374259,880.436623,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg018,18,aI,,1.916623,2.14,0.223377,880.436623,880.660000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg019,19,s,,2.14,2.406679,0.266679,880.660000,880.926679,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0180,pavoque::m0180::seg020,20,_,,2.406679,2.935,0.528321,880.926679,881.455000,878.52,881.46,angry,"Es ist die Enterprise...",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
