source_id,file_name,size,checksum_type,checksum,role,manual_status,ingestion_status,authoritative_url,notes
oocc_german_conversation_2026,10_minute_recordings_audio_video_task1.zip,1.4 GB,md5,0544c86afc33d219cb43f61246b81910,primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Do not mirror large media"
oocc_german_conversation_2026,10_minute_recordings_audio_video_task2.zip,1.4 GB,md5,025f30a9f3bf9cfc29982b8aa82649ff,primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Do not mirror large media"
oocc_german_conversation_2026,10_minute_recordings_audio_video_task3.zip,1.5 GB,md5,6f48f33a44ddf4c052c3d629c9c40e0e,primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Do not mirror large media"
oocc_german_conversation_2026,10_minute_recordings_audio_video_task4.zip,1.4 GB,md5,397b81eb224e78959ffc3bcfbbd5cc1e,primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Do not mirror large media"
oocc_german_conversation_2026,10_minute_recordings_audio_video_task5.zip,1.6 GB,md5,1b02b1cfeac41c1eba91eca50c5071ae,primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Do not mirror large media"
oocc_german_conversation_2026,10_minute_recordings_landmarks.zip,593.6 MB,md5,a0a7f5dd44782d7e98b82ed6e2168031,automatic body-pose landmarks,AUTOMATIC_NONCORE,MANIFESTED,https://zenodo.org/records/21446419,"Keep separate from manually grounded core"
oocc_german_conversation_2026,10_minute_recordings_transcripts.zip,213.8 kB,md5,57b7594f5f7f4769491ec7f8c5523975,manually corrected speech annotations,MANUAL_CORRECTED_CORE,PENDING_BINARY_RETRIEVAL,https://zenodo.org/records/21446419,"Priority parse: CSV segment timestamps/speaker/transcript"
oocc_german_conversation_2026,2_minute_recordings_audio_video_task1.zip,286.6 MB,md5,2dedd7b8aea80bec39f6815a6ad9f104,selected primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Derived clip selection from same underlying recordings; do not double-count"
oocc_german_conversation_2026,2_minute_recordings_audio_video_task2.zip,310.4 MB,md5,ea08527575686d8c1ffd3039a1cb7a8d,selected primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Derived clip selection from same underlying recordings; do not double-count"
oocc_german_conversation_2026,2_minute_recordings_audio_video_task3.zip,259.1 MB,md5,520bcf97069c5977c27122dd21bd08c4,selected primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Derived clip selection from same underlying recordings; do not double-count"
oocc_german_conversation_2026,2_minute_recordings_audio_video_task4.zip,304.9 MB,md5,d39395daad9334d7139ac1ad43c87bd4,selected primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Derived clip selection from same underlying recordings; do not double-count"
oocc_german_conversation_2026,2_minute_recordings_audio_video_task5.zip,260.8 MB,md5,6db3ea98fba3e23b9d268a298333a2cc,selected primary audiovisual recordings,PRIMARY_RAW,REFERENCE_ONLY,https://zenodo.org/records/21446419,"Derived clip selection from same underlying recordings; do not double-count"
oocc_german_conversation_2026,2_minute_recordings_landmarks.zip,109.8 MB,md5,84d4719f7b519501dcdd56c1391b1de6,automatic body-pose landmarks,AUTOMATIC_NONCORE,MANIFESTED,https://zenodo.org/records/21446419,"Keep separate from manually grounded core"
oocc_german_conversation_2026,2_minute_recordings_transcripts.zip,573.8 kB,md5,2d512c753d4275e497b38548b362cf5b,derived transcript/production-measure tables,MANUAL_LINKED_DERIVED,PENDING_BINARY_RETRIEVAL,https://zenodo.org/records/21446419,"Priority parse; same underlying recordings as 10-minute files, so lineage-deduplicate"
oocc_german_conversation_2026,citation.zip,835 Bytes,md5,18f5ba1bee36eaf596054ac89b69c2ae,citation metadata,METADATA,MANIFESTED,https://zenodo.org/records/21446419,
oocc_german_conversation_2026,documentation.zip,588.8 kB,md5,135759cae18a038566d30625d28c72e7,method/license documentation,METADATA,MANIFESTED,https://zenodo.org/records/21446419,
oocc_german_conversation_2026,metadata.zip,2.5 kB,md5,a0e0f9638c6a80be09c0a80ecb850981,corpus and recording metadata,METADATA,PENDING_BINARY_RETRIEVAL,https://zenodo.org/records/21446419,"Parse XML metadata"
oocc_german_conversation_2026,README.md,8.1 kB,md5,c488f095bb338023361df247ba86a592,documentation,METADATA,VERIFIED_WEB,https://zenodo.org/records/21446419,"Methodological and file-structure evidence verified"
